Asset Class

DCA 1
Business loans
Consumer
Credit cards
Expenses accounts
Mortgage loans
Open loans
Overdraft
*No value
DCA 2
Business loans
Consumer
Credit cards
Expenses accounts
Mortgage loans
Open loans
Overdraft
*No value
DCA 3
Business loans
Consumer
Credit cards
Expenses accounts
Mortgage loans
Open loans
Overdraft
*No value
DCA 4
Business loans
Consumer
Credit cards
Expenses accounts
Mortgage loans
Open loans
Overdraft
*No value
DCA 5
Business loans
Consumer
Credit cards
Expenses accounts
Mortgage loans
Open loans
Overdraft
*No value
*No value
*No value
Business loans
Consumer
Credit cards
Expenses accounts
Mortgage loans
Open loans
Overdraft
*No value
Grand Total
